Number,Title,Name,City,State,Amount
93.623,Basic Center Grant,COMMUNITY HUMAN SERVICES PROJECT,MONTEREY,CA,36779
93.623,Basic Center Grant,TAHOE YOUTH & FAMILY SERVICES,SOUTH LAKE TAHOE,CA,33369
93.623,Basic Center Grant,LOS ANGELES YOUTH NETWORK,HOLLYWOOD,CA,30000
93.157,Centers of Excellence,"UNIVERSITY OF CALIFORNIA, REGENTS",BERKELEY,CA,150000
93.157,Centers of Excellence,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,150000
93.157,Centers of Excellence,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,150000
93.157,Centers of Excellence,STANFORD JUNIOR UNIVERSITY,STANFORD,CA,150000
93.575,Child Care and Development Block Grant,California Department of Education,SACRAMENTO,CA,350313504
93.575,Child Care and Development Block Grant,"California Rural Indian Health Board, Inc.",ROSEVILLE,CA,555828
93.575,Child Care and Development Block Grant,ROUND VALLEY INDIAN TRIBES,COVELO,CA,292425
93.575,Child Care and Development Block Grant,CAILFORNIA INDIAN MANPOWER CONSORTIUM,SACRAMENTO,CA,260564
93.575,Child Care and Development Block Grant,REDDING RANCHERIA INDIAN HEALTH SERVICES,REDDING,CA,199938
93.575,Child Care and Development Block Grant,MECHOOPDA INDIAN TRIBE OF CHICO RANCHERIA CALIFORNIA,CHICO,CA,99969
93.575,Child Care and Development Block Grant,INTER-TRIBAL COUNCIL OF CALIFORNIA,SACRAMENTO,CA,96873
93.575,Child Care and Development Block Grant,HOOPA VALLEY BUSINESS COUNCIL,HOOPA,CA,80620
93.575,Child Care and Development Block Grant,KARUK TRIBE OF CALIFORNIA,HAPPY CAMP,CA,65915
93.575,Child Care and Development Block Grant,SOBOBA BAND OF LUISENO INDIANS,SAN JACINTO,CA,62690
93.575,Child Care and Development Block Grant,MOORETOWN RANCHERIA,OROVILLE,CA,61916
93.575,Child Care and Development Block Grant,Tolowa Dee-ni` Nation,SMITH RIVER,CA,60497
93.575,Child Care and Development Block Grant,CAMPO BAND OF MISSION INDIANS,CAMPO,CA,58047
93.575,Child Care and Development Block Grant,BISHOP INDIAN TRIBAL COUNCIL,BISHOP,CA,53403
93.575,Child Care and Development Block Grant,NORTH FORK RANCHERIA,NORTH FORK,CA,47727
93.575,Child Care and Development Block Grant,TORRES MARTINEZ INDIAN TRIBES,THERMAL,CA,38311
93.575,Child Care and Development Block Grant,PICAYUNE RANCHERIA OF THE CHUKCHANSI INDIANS,COARSEGOLD,CA,37021
93.575,Child Care and Development Block Grant,"SOUTHERN CALIFORNIA TRIBAL CHAIRMEN'S ASSN, INC",VALLEY CENTER,CA,34957
93.575,Child Care and Development Block Grant,FORT MOJAVE INDIAN TRIBE,NEEDLES,CA,33796
93.575,Child Care and Development Block Grant,SUSANVILLE INDIAN RANCHERIA,SUSANVILLE,CA,29281
93.575,Child Care and Development Block Grant,ENTERPRISE RANCHERIA,OROVILLE,CA,28249
93.575,Child Care and Development Block Grant,DRY CREEK RANCHERIA,GEYSERVILLE,CA,25798
93.575,Child Care and Development Block Grant,PIT RIVER TRIBAL COUNCIL,BURNEY,CA,25540
93.575,Child Care and Development Block Grant,BEAR RIVER BAND OF ROHNERVILLE RANCHERIA,LOLETA,CA,21671
93.575,Child Care and Development Block Grant,BIG SANDY RANCHERIA,AUBERRY,CA,20639
93.575,Child Care and Development Block Grant,CLOVERDALE RANCHERIA TRIBE,CLOVERDALE,CA,20381
93.575,Child Care and Development Block Grant,QUARTZ VALLEY INDIAN RESERVATION,FORT JONES,CA,19994
93.575,Child Care and Development Block Grant,BERRY CREEK RANCHERIA,OROVILLE,CA,18188
93.575,Child Care and Development Block Grant,YUROK TRIBE,KLAMATH,CA,17156
93.575,Child Care and Development Block Grant,TABLE BLUFF RANCHERIA,LOLETA,CA,17156
93.575,Child Care and Development Block Grant,HOPLAND BAND OF POMO INDIANS,HOPLAND,CA,14060
93.575,Child Care and Development Block Grant,ROBINSON RANCHERIA CITIZENS COUNCIL,NICE,CA,13673
93.575,Child Care and Development Block Grant,PINOLEVILLE POMO NATION,UKIAH,CA,13286
93.575,Child Care and Development Block Grant,COLUSA INDIAN COMMUNITY COUNCIL,COLUSA,CA,11738
93.575,Child Care and Development Block Grant,SCOTTS VALLEY BAND OF POMO INDIANS,LAKEPORT,CA,8384
93.569,Community Services Block Grant,DEPT. OF COMMUNITY SERVICES AND DEVELOPMENT,SACRAMENTO,CA,89150063
93.569,Community Services Block Grant,DEPT. OF COMMUNITY SERVICES AND DEVELOPMENT,SACRAMENTO,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,85094
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",CHILDRENS HOSP. & RESEARCH CTR OF OAKLAND,OAKLAND,CA,71157
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",University of Southern California,LOS ANGELES,CA,55457
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth","UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",LOS ANGELES,CA,53808
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,37791
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",Cares Community Health,SACRAMENTO,CA,26288
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,FRESNO,CA,26214
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",CLINICA SIERRA VISTA,LAMONT,CA,20000
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",ALTA MED HEALTH SERVICES CORPORATION,LOS ANGELES,CA,20000
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",Santa Rosa Community Health Centers,SANTA ROSA,CA,20000
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",ALTA MED HEALTH SERVICES CORPORATION,LOS ANGELES,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,FRESNO,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",CLINICA SIERRA VISTA,LAMONT,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth","UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",LOS ANGELES,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",ALTA MED HEALTH SERVICES CORPORATION,LOS ANGELES,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",University of Southern California,LOS ANGELES,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",CHILDRENS HOSP. & RESEARCH CTR OF OAKLAND,OAKLAND,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",Cares Community Health,SACRAMENTO,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",Santa Rosa Community Health Centers,SANTA ROSA,CA,0
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,0
93.286,Discovery and Applied Research for Technological Innovations to Improve Human Health,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,782723
93.286,Discovery and Applied Research for Technological Innovations to Improve Human Health,STANFORD UNIVERSITY,STANFORD,CA,354825
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","INTERFACE COMMUNITY, INC",CAMARILLO,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",Covenant House California,HOLLYWOOD,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",Covenant House California,HOLLYWOOD,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",Los Angeles LGBT Center,LOS ANGELES,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",LOS ANGELES VOLUNTEERS OF AMERICA,LOS ANGELES,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",1736 Family Crisis Center,LOS ANGELES,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",LOS ANGELES VOLUNTEERS OF AMERICA,LOS ANGELES,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",OPERATION SAFEHOUSE INC,RIVERSIDE,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",San Diego Youth Services,SAN DIEGO,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",YMCA OF SAN DIEGO COUNTY,SAN DIEGO,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",LARKIN STREET YOUTH SERVICES,SAN FRANCISCO,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",BILL WILSON CENTER,SANTA CLARA,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","SOCIAL ADVOCATES FOR YOUTH, INC",SANTA ROSA,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",Family Assistance Program,VICTORVILLE,CA,15000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",ENCOMPASS COMMUNITY SERVICES,SANTA CRUZ,CA,14999
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","Noahs Anchorage YMCA, Branch of Channel Island YMCA",SANTA BARBARA,CA,11000
93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",COMMUNITY HUMAN SERVICES PROJECT,MONTEREY,CA,10000
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,CA Department of Health Care Services,SACRAMENTO,CA,2000000
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"NATIVE AMERICAN HEALTH CENTER, INC.",OAKLAND,CA,500000
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,SACRAMENTO NATIVE AMERICAN HEALTH CENTER,SACRAMENTO,CA,500000
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"Indian Health Council, Inc.",PAUMA VALLEY,CA,420300
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,Tolowa Dee-ni` Nation,SMITH RIVER,CA,361487
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"ROUND VALLEY INDIAN HEALTH CENTER, INC",COVELO,CA,340102
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,K`ima: Medical Center,HOOPA,CA,333455
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"ROUND VALLEY INDIAN HEALTH CENTER, INC",COVELO,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"NATIVE AMERICAN HEALTH CENTER, INC.",OAKLAND,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"Indian Health Council, Inc.",PAUMA VALLEY,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,SACRAMENTO NATIVE AMERICAN HEALTH CENTER,SACRAMENTO,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,Tolowa Dee-ni` Nation,SMITH RIVER,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,"ROUND VALLEY INDIAN HEALTH CENTER, INC",COVELO,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,CA Department of Health Care Services,SACRAMENTO,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,CA Department of Health Care Services,SACRAMENTO,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,K`ima: Medical Center,HOOPA,CA,0
93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,K`ima: Medical Center,HOOPA,CA,0
93.317,Emerging Infections Programs,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,2000000
93.317,Emerging Infections Programs,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,600000
93.317,Emerging Infections Programs,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,598333
93.317,Emerging Infections Programs,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,-598333
93.860,Emerging Infections Sentinel Networks,OLIVE VIEW-UCLA EDUCATION & RESEARCH INSTITUTE INC,SYLMAR,CA,3690518
93.860,Emerging Infections Sentinel Networks,OLIVE VIEW-UCLA EDUCATION & RESEARCH INSTITUTE INC,SYLMAR,CA,1607266
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,499203180
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,ALHAMBRA,CA,288995531
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,41896344
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,ALHAMBRA,CA,20235667
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,3694724
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,ALHAMBRA,CA,1866315
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,ALHAMBRA,CA,1000000
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,1000000
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,ALHAMBRA,CA,0
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",CITY OF INDUSTRY,CA,0
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,Governor`s Office of Emergency Services,MATHER,CA,4154993
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,INTER-TRIBAL COUNCIL OF CALIFORNIA,SACRAMENTO,CA,148572
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,"SOUTHERN INDIAN HEALTH COUNCIL, INC",ALPINE,CA,42623
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,"Strong Hearted Native Women`s Coalition, Inc.",VALLEY CENTER,CA,36534
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,CAHUILLA BAND OF INDIANS,ANZA,CA,20703
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,KARUK TRIBE OF CALIFORNIA,HAPPY CAMP,CA,18268
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,YUROK TRIBE,KLAMATH,CA,18268
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,TABLE BLUFF RANCHERIA,LOLETA,CA,12178
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,FORT MOJAVE INDIAN TRIBE,NEEDLES,CA,8525
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,DRY CREEK RANCHERIA,GEYSERVILLE,CA,6089
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,LA JOLLA INDIAN RESERVATION,PAUMA VALLEY,CA,6089
93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,Tolowa Dee-ni` Nation,SMITH RIVER,CA,6089
93.591,Family Violence Prevention and Services/State Domestic Violence Coalitions,CALIFORNIA ALLIANCE AGAINST DOMESTIC VIOLENCE,MODESTO,CA,80357
93.591,Family Violence Prevention and Services/State Domestic Violence Coalitions,CALIFORNIA ALLIANCE AGAINST DOMESTIC VIOLENCE,MODESTO,CA,0
93.527,Grants for New and Expanded Services under the Health Center Program,"HEALTH AND LIFE ORGANIZATION, INC. (H.A.L.O.)",SACRAMENTO,CA,648422
93.527,Grants for New and Expanded Services under the Health Center Program,SAN JOAQUIN COUNTY HEALTH CARE SERVICES,STOCKTON,CA,608927
93.527,Grants for New and Expanded Services under the Health Center Program,"Northeast Community Clinic, Inc",ALHAMBRA,CA,550592
93.527,Grants for New and Expanded Services under the Health Center Program,STANISLAUS COUNTY DEPARTMENT OF PUBLIC HEALTH,MODESTO,CA,547937
93.527,Grants for New and Expanded Services under the Health Center Program,"Castle Family Health Centers, Inc",ATWATER,CA,545147
93.527,Grants for New and Expanded Services under the Health Center Program,"White Memorial Community Health Center, A California No",Los Angeles,CA,365972
93.527,Grants for New and Expanded Services under the Health Center Program,GARFIELD HEALTH CENTER,MONTEREY PARK,CA,279287
93.527,Grants for New and Expanded Services under the Health Center Program,"TULARE, COUNTY OF",VISALIA,CA,215292
93.527,Grants for New and Expanded Services under the Health Center Program,Families Together Of Orange County,Tustin,CA,209657
93.527,Grants for New and Expanded Services under the Health Center Program,Centro Medico Community Clinic Inc,CORONA,CA,183962
93.527,Grants for New and Expanded Services under the Health Center Program,AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER,COMPTON,CA,174512
93.527,Grants for New and Expanded Services under the Health Center Program,Community Medicine Inc.,Paramount,CA,159227
93.527,Grants for New and Expanded Services under the Health Center Program,Brighter Beginnings,OAKLAND,CA,155942
93.527,Grants for New and Expanded Services under the Health Center Program,HealthRIGHT 360,SAN FRANCISCO,CA,155312
93.527,Grants for New and Expanded Services under the Health Center Program,Health Service Alliance,CHINO,CA,152612
93.527,Grants for New and Expanded Services under the Health Center Program,Laguna Beach Community Clinic Inc,LAGUNA BEACH,CA,148333
93.527,Grants for New and Expanded Services under the Health Center Program,"De Novo Health Care, Inc",LYNWOOD,CA,148082
93.527,Grants for New and Expanded Services under the Health Center Program,LIVINGSTONE COMMUNITY DEVELOPMENT CORPORATION,STANTON,CA,132362
93.527,Grants for New and Expanded Services under the Health Center Program,TODOS PARA LA SALUD,FRESNO,CA,131237
93.527,Grants for New and Expanded Services under the Health Center Program,"Tender Care Community Clinic, Inc",Downey,CA,114452
93.527,Grants for New and Expanded Services under the Health Center Program,"SAN JUDAS COMMUNITY HEALTH CENTER, INC",Los Angeles,CA,114452
93.527,Grants for New and Expanded Services under the Health Center Program,"PENINSULA HEALTHCARE CONNECTION, INC",San Jose,CA,114452
93.527,Grants for New and Expanded Services under the Health Center Program,AMH COMPREHENSIVE MEDICAL CENTERS, LOS ANGELES,CA,114452
93.527,Grants for New and Expanded Services under the Health Center Program,BeverlyCare,Montebello,CA,114452
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,149769
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Cares Community Health,SACRAMENTO,CA,133415
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SAN BERNARDINO COUNTY DEPARTMENT OF PUBLIC HEALTH,SAN BERNARDINO,CA,133415
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,COUNTY OF ORANGE HEALTH CARE AGENCY,SANTA ANA,CA,121872
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Dignity Health DBA Saint Mary Medical Center,LONG BEACH,CA,115619
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC",SAN YSIDRO,CA,113215
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Los Angeles LGBT Center,LOS ANGELES,CA,110810
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SANTA CLARA COUNTY HEALTH DEPARTMENT,SAN JOSE,CA,110329
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"DESERT AIDS PROJECT, INC.",PALM SPRINGS,CA,109848
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC",SAN DIEGO,CA,109848
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,FRESNO,CA,108886
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,AIDS HEALTHCARE FOUNDATION,LOS ANGELES,CA,99125
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"TRI CITY HEALTH CENTER, INC",FREMONT,CA,95000
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,SAN FRANCISCO,CA,95000
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,CA,92250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"UNIVERSITY OF SOUTHERN CALIFORNIA, SCHOOL OF MEDICINE",LOS ANGELES,CA,88125
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"JWCH INSTITUTE, INC",LOS ANGELES,CA,88125
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,CONTRA COSTA COUNTY HEALTH SERVICE DEPARTMENT,MARTINEZ,CA,86750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,ALTA MED HEALTH SERVICES CORPORATION,LOS ANGELES,CA,85375
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Santa Rosa Community Health Centers,SANTA ROSA,CA,81250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,SAN FRANCISCO,CA,74375
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,NATIVIDAD MEDICAL CENTER,SALINAS,CA,71625
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,CLINICA SIERRA VISTA,LAMONT,CA,70250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"WEST COUNTY HEALTH CENTERS, INC.",GUERNEVILLE,CA,67500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,VENTURA COUNTY HEALTH SERVICES AGENCY,VENTURA,CA,64750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,AMPLA HEALTH,YUBA CITY,CA,64750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"COMMUNITY MEDICAL CENTERS, INC",STOCKTON,CA,62000
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,COUNTY OF SOLANO,FAIRFIELD,CA,59250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"CITY OF SANTA BARBARA, HEALTH CARE SERVICES",SANTA BARBARA,CA,59250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,MENDOCINO COMMUNITY HEALTH CLINIC,UKIAH,CA,59250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,OPEN DOOR COMMUNITY HEALTH CENTERS,ARCATA,CA,56500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SHASTA COMMUNITY HEALTH CENTER,REDDING,CA,56500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,SANTA CRUZ,CA,56500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,VENICE FAMILY CLINIC,VENICE,CA,56500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"EL PROYECTO DEL BARRIO, INC",ARLETA,CA,53750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"T.H.E. CLINIC, INC.",LOS ANGELES,CA,53750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Bartz-Altadonna Community Health Center,LANCASTER,CA,48250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,WATTS HEALTHCARE CORPORATION,LOS ANGELES,CA,48250
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,TARZANA TREATMENT CENTER,TARZANA,CA,45500
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Plumas County Public Health Agency,QUINCY,CA,42750
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,OMNI FAMILY HEALTH,BAKERSFIELD,CA,20000
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,CHARLES R DREW UNIVERSITY OF MEDICINE & SCIENCE,LOS ANGELES,CA,20000
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,SANTA CRUZ,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,COUNTY OF ORANGE HEALTH CARE AGENCY,SANTA ANA,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,TARZANA TREATMENT CENTER,TARZANA,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,TARZANA TREATMENT CENTER,TARZANA,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,OPEN DOOR COMMUNITY HEALTH CENTERS,ARCATA,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"EL PROYECTO DEL BARRIO, INC",ARLETA,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,OMNI FAMILY HEALTH,BAKERSFIELD,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,COUNTY OF SOLANO,FAIRFIELD,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"TRI CITY HEALTH CENTER, INC",FREMONT,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER,FRESNO,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,"WEST COUNTY HEALTH CENTERS, INC.",GUERNEVILLE,CA,0
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,0
